red,green,blue,label
514.90,468.60,465.10,ripe
503.20,468.70,462.70,ripe
516.90,485.60,492.30,ripe
535.60,499.00,492.20,ripe
518.00,474.30,469.60,ripe
539.60,496.20,497.20,ripe
558.60,496.80,494.40,ripe
539.00,486.00,475.90,ripe
527.60,479.10,473.60,ripe
529.60,480.00,477.60,ripe
534.30,482.00,478.30,ripe
531.30,486.10,488.00,ripe
554.00,499.20,494.10,ripe
550.00,496.00,494.80,ripe
563.50,504.00,493.60,ripe
553.30,506.30,505.80,ripe
557.20,490.90,482.20,ripe
532.20,481.80,490.20,ripe
562.20,512.60,508.30,ripe
553.40,513.00,500.90,ripe
539.00,487.80,467.80,ripe
507.80,460.30,458.50,ripe
504.90,474.00,483.00,ripe
521.10,474.50,464.20,ripe
505.70,467.90,462.20,ripe
505.70,475.90,462.10,ripe
498.90,461.80,465.90,ripe
520.10,484.00,482.80,ripe
528.30,492.80,478.70,ripe
502.90,472.00,479.60,ripe
534.80,489.10,499.00,ripe
509.60,474.40,487.30,ripe
